game_date,game_pk,player_name,batter,pitcher,stand,p_throws,pit_handR,bat_handR,home_team,away_team,outs_when_up,inning,inning_topbot,launch_speed,launch_angle,hit_direction,is_gb,is_ld,is_fb,is_pu,hangtime,distance,landing_x,landing_y,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,a3,a4,a5,a6,a7,a8,a9,d3,d4,d5,d6,d7,d8,d9,ad3,ad4,ad5,ad6,responsible_fielder,responsible_fielder_x,responsible_fielder_y,responsible_fielder_angle,responsible_fielder_depth,responsible_fielder_coords_diff,responsible_fielder_angle_diff,fielder_landing_x,fielder_landing_y,fielder_landing_angle_radians,is_out
2023-10-12,748561,"Johnson, Pierce",592206,572955,R,R,1,1,PHI,ATL,1,8,Bot,97.3,6.0,-39.25269933031463,1,0,0,0,1.2189044,130.08891,-82.3126944061472,100.73601945541046,64.87676,103.62088,16.846207,153.99442,-76.896164,116.285126,-38.075928,147.53577,-139.90384,265.81088,8.199211,338.15524,136.38708,260.8384,32.050573979262445,6.2430420904421835,-33.475570570995366,-14.471088171674772,-27.75911058764725,1.3889719853407054,27.604150445042812,122.25498255724386,154.9131243033438,139.410367500953,152.3698780026882,300.38060585384005,338.2546280547838,294.34351785878755,71.30327330957707,45.49574142075681,5.777128759319261,24.781611158639855,5,-76.896164,116.285126,-33.475570570995366,139.410367500953,16.465525074400595,5.777128759319261,-5.416530406147203,-15.549106544589549,-1.9060004081750328,1
2023-10-09,748563,"Yates, Kirby",592206,489446,R,R,1,1,ATL,PHI,1,5,Top,76.5,26.0,24.728909867577592,0,0,1,0,3.7683864,270.67712,113.23112395122942,245.85527864648478,64.87676,103.62088,16.846207,153.99442,-76.896164,116.285126,-38.075928,147.53577,-139.90384,265.81088,8.199211,338.15524,136.38708,260.8384,32.050573979262445,6.2430420904421835,-33.475570570995366,-14.471088171674772,-27.75911058764725,1.3889719853407054,27.604150445042812,122.25498255724386,154.9131243033438,139.410367500953,152.3698780026882,300.38060585384005,338.2546280547838,294.34351785878755,7.3216641116848535,-18.485867777135407,-58.20448043857296,-39.199998039252364,9,136.38708,260.8384,27.604150445042812,294.34351785878755,27.580649485223475,2.8752405774652203,-23.155956048770577,-14.983121353515202,-2.5672922167506376,0
2023-10-07,748562,"Strider, Spencer",592206,675911,R,R,1,1,ATL,PHI,0,7,Top,94.3,-7.0,-35.18682659675645,1,0,0,0,0.24498796,34.46039,-19.857606525368226,28.163696789441918,64.87676,103.62088,16.846207,153.99442,-76.896164,116.285126,-38.075928,147.53577,-139.90384,265.81088,8.199211,338.15524,136.38708,260.8384,32.050573979262445,6.2430420904421835,-33.475570570995366,-14.471088171674772,-27.75911058764725,1.3889719853407054,27.604150445042812,122.25498255724386,154.9131243033438,139.410367500953,152.3698780026882,300.38060585384005,338.2546280547838,294.34351785878755,67.2374005760189,41.42986868719863,1.711256025761081,20.715738425081675,5,-76.896164,116.285126,-33.475570570995366,139.410367500953,104.97039261095613,1.711256025761081,57.03855747463177,-88.12142921055809,-0.9963410579041537,1
2023-10-07,748562,"Strider, Spencer",592206,675911,R,R,1,1,ATL,PHI,0,5,Top,56.4,-79.0,-51.23225325831758,1,0,0,0,0.07963034,1.9949881,-1.5554734016763,1.249191719208395,64.87676,103.62088,16.846207,153.99442,-76.896164,116.285126,-38.075928,147.53577,-139.90384,265.81088,8.199211,338.15524,136.38708,260.8384,32.050573979262445,6.2430420904421835,-33.475570570995366,-14.471088171674772,-27.75911058764725,1.3889719853407054,27.604150445042812,122.25498255724386,154.9131243033438,139.410367500953,152.3698780026882,300.38060585384005,338.2546280547838,294.34351785878755,83.28282723758002,57.47529534875976,17.75668268732221,36.761165086642805,5,-76.896164,116.285126,-33.475570570995366,139.410367500953,137.5117661717969,17.75668268732221,75.3406905983237,-115.03593428079161,-0.9909619262451447,1
2023-10-07,748562,"Strider, Spencer",592206,675911,R,R,1,1,ATL,PHI,2,2,Top,100.6,40.0,22.25269580696041,0,0,1,0,6.102435,348.50677,131.97678485010493,322.5509268525856,64.87676,103.62088,16.846207,153.99442,-76.896164,116.285126,-38.075928,147.53577,-139.90384,265.81088,8.199211,338.15524,136.38708,260.8384,32.050573979262445,6.2430420904421835,-33.475570570995366,-14.471088171674772,-27.75911058764725,1.3889719853407054,27.604150445042812,122.25498255724386,154.9131243033438,139.410367500953,152.3698780026882,300.38060585384005,338.2546280547838,294.34351785878755,9.797878172302035,-16.009653716518226,-55.72826637795578,-36.72378397863518,9,136.38708,260.8384,27.604150445042812,294.34351785878755,61.86991735763259,5.3514546380824015,-4.410295149895063,61.7125268525856,1.6421401869825798,1
2023-09-20,716509,"Iglesias, Raisel",592206,628452,R,R,1,1,ATL,PHI,0,9,Top,83.3,39.0,-37.54688410313615,0,0,1,0,5.166323,293.50443,-178.86465255141238,232.70643220784788,64.87676,103.62088,16.846207,153.99442,-76.896164,116.285126,-38.075928,147.53577,-139.90384,265.81088,8.199211,338.15524,136.38708,260.8384,32.050573979262445,6.2430420904421835,-33.475570570995366,-14.471088171674772,-27.75911058764725,1.3889719853407054,27.604150445042812,122.25498255724386,154.9131243033438,139.410367500953,152.3698780026882,300.38060585384005,338.2546280547838,294.34351785878755,69.59745808239859,43.78992619357833,4.071313532140785,23.07579593146138,7,-139.90384,265.81088,-27.75911058764725,300.38060585384005,51.125819096515386,9.787773515488901,-38.960812551412374,-33.104447792152115,-2.437281047628368,1
2023-09-13,716603,"Strider, Spencer",592206,675911,R,R,1,1,PHI,ATL,1,7,Bot,93.5,16.0,34.50186881203916,0,1,0,0,2.9687731,266.7933,151.12056305302653,219.866420169937,64.87676,103.62088,16.846207,153.99442,-76.896164,116.285126,-38.075928,147.53577,-139.90384,265.81088,8.199211,338.15524,136.38708,260.8384,32.050573979262445,6.2430420904421835,-33.475570570995366,-14.471088171674772,-27.75911058764725,1.3889719853407054,27.604150445042812,122.25498255724386,154.9131243033438,139.410367500953,152.3698780026882,300.38060585384005,338.2546280547838,294.34351785878755,-2.4512948327767177,-28.25882672159698,-67.97743938303452,-48.972956983713935,9,136.38708,260.8384,27.604150445042812,294.34351785878755,43.54054035113607,-6.897718366996351,14.733483053026532,-40.97197983006299,-1.2255957828008484,1
2023-09-12,716618,"Jiménez, Joe",592206,641729,R,R,1,1,PHI,ATL,1,8,Bot,100.1,16.0,-36.366187907742,0,1,0,0,2.5902808,292.64902,-173.52441731472334,235.65382225232935,64.87676,103.62088,16.846207,153.99442,-76.896164,116.285126,-38.075928,147.53577,-139.90384,265.81088,8.199211,338.15524,136.38708,260.8384,32.050573979262445,6.2430420904421835,-33.475570570995366,-14.471088171674772,-27.75911058764725,1.3889719853407054,27.604150445042812,122.25498255724386,154.9131243033438,139.410367500953,152.3698780026882,300.38060585384005,338.2546280547838,294.34351785878755,68.41676188700444,42.60922999818418,2.8906173367466366,21.89509973606723,7,-139.90384,265.81088,-27.75911058764725,300.38060585384005,45.164049319914085,8.607077320094753,-33.620577314723334,-30.15705774767065,-2.4104473760249236,0
2023-09-11,717664,"Morton, Charlie",592206,450203,R,R,1,1,PHI,ATL,1,6,Bot,90.4,26.0,-21.071054060465002,0,0,1,0,4.5180182,354.43488,-127.42835181591018,330.73568920797476,64.87676,103.62088,16.846207,153.99442,-76.896164,116.285126,-38.075928,147.53577,-139.90384,265.81088,8.199211,338.15524,136.38708,260.8384,32.050573979262445,6.2430420904421835,-33.475570570995366,-14.471088171674772,-27.75911058764725,1.3889719853407054,27.604150445042812,122.25498255724386,154.9131243033438,139.410367500953,152.3698780026882,300.38060585384005,338.2546280547838,294.34351785878755,53.12162803972745,27.314096150907186,-12.404516510530364,6.59996588879023,7,-139.90384,265.81088,-27.75911058764725,300.38060585384005,66.11254537622409,-6.688056527182248,12.475488184089826,64.92480920797476,1.3809573475456784,0
2023-09-11,717664,"Morton, Charlie",592206,450203,R,R,1,1,PHI,ATL,1,2,Bot,101.5,8.0,-21.423403230438367,1,0,0,0,1.4254088,178.88884,-65.34041097261814,166.52881934037174,64.87676,103.62088,16.846207,153.99442,-76.896164,116.285126,-38.075928,147.53577,-139.90384,265.81088,8.199211,338.15524,136.38708,260.8384,32.050573979262445,6.2430420904421835,-33.475570570995366,-14.471088171674772,-27.75911058764725,1.3889719853407054,27.604150445042812,122.25498255724386,154.9131243033438,139.410367500953,152.3698780026882,300.38060585384005,338.2546280547838,294.34351785878755,53.47397720970081,27.666445320880552,-12.052167340556998,6.952315058763595,6,-38.075928,147.53577,-14.471088171674772,152.3698780026882,33.2278189926751,6.952315058763595,-27.264482972618147,18.993049340371726,2.5331371391672004,1
2023-05-28,717992,"Rodríguez, Dereck",592206,605446,R,R,1,1,ATL,PHI,0,9,Top,90.5,38.0,25.627419800578316,0,0,1,0,5.4418902,312.27313,135.06352753089016,281.55346331112946,64.87676,103.62088,16.846207,153.99442,-76.896164,116.285126,-38.075928,147.53577,-139.90384,265.81088,8.199211,338.15524,136.38708,260.8384,32.050573979262445,6.2430420904421835,-33.475570570995366,-14.471088171674772,-27.75911058764725,1.3889719853407054,27.604150445042812,122.25498255724386,154.9131243033438,139.410367500953,152.3698780026882,300.38060585384005,338.2546280547838,294.34351785878755,6.423154178684129,-19.384377710136132,-59.10299037157368,-40.09850797225309,9,136.38708,260.8384,27.604150445042812,294.34351785878755,20.757303271923103,1.9767306444644959,-1.323552469109842,20.715063311129484,1.6346028323154465,1
2023-05-28,717992,"McHugh, Collin",592206,543521,R,R,1,1,ATL,PHI,0,7,Top,105.7,18.0,-18.49471491339361,0,1,0,0,3.7472355,363.12534,-115.18959484104975,344.37097244507953,64.87676,103.62088,16.846207,153.99442,-76.896164,116.285126,-38.075928,147.53577,-139.90384,265.81088,8.199211,338.15524,136.38708,260.8384,32.050573979262445,6.2430420904421835,-33.475570570995366,-14.471088171674772,-27.75911058764725,1.3889719853407054,27.604150445042812,122.25498255724386,154.9131243033438,139.410367500953,152.3698780026882,300.38060585384005,338.2546280547838,294.34351785878755,50.54528889265606,24.737757003835796,-14.980855657601754,4.023626741718839,7,-139.90384,265.81088,-27.75911058764725,300.38060585384005,82.35582577302068,-9.264395674253638,24.71424515895025,78.56009244507953,1.2660082386439548,0
2023-05-28,717992,"Strider, Spencer",592206,675911,R,R,1,1,ATL,PHI,0,2,Top,102.9,45.0,16.701376661920683,0,0,1,0,6.6606965,313.56244,90.11268172621244,300.33499250285786,64.87676,103.62088,16.846207,153.99442,-76.896164,116.285126,-38.075928,147.53577,-139.90384,265.81088,8.199211,338.15524,136.38708,260.8384,32.050573979262445,6.2430420904421835,-33.475570570995366,-14.471088171674772,-27.75911058764725,1.3889719853407054,27.604150445042812,122.25498255724386,154.9131243033438,139.410367500953,152.3698780026882,300.38060585384005,338.2546280547838,294.34351785878755,15.349197317341762,-10.458334571478499,-50.17694723291605,-31.172464833595456,9,136.38708,260.8384,27.604150445042812,294.34351785878755,60.83831650315385,10.902773783122129,-46.274398273787554,39.49659250285788,2.4350527421489723,1
2023-05-27,717997,"Jiménez, Joe",592206,641729,R,R,1,1,ATL,PHI,2,9,Top,107.0,14.0,0.13638218506172595,0,1,0,0,3.0909991,344.95218,0.821095164106501,344.95120172074735,64.87676,103.62088,16.846207,153.99442,-76.896164,116.285126,-38.075928,147.53577,-139.90384,265.81088,8.199211,338.15524,136.38708,260.8384,32.050573979262445,6.2430420904421835,-33.475570570995366,-14.471088171674772,-27.75911058764725,1.3889719853407054,27.604150445042812,122.25498255724386,154.9131243033438,139.410367500953,152.3698780026882,300.38060585384005,338.2546280547838,294.34351785878755,31.91419179420072,6.106659905380457,-33.61195275605709,-14.607470356736497,8,8.199211,338.15524,1.3889719853407054,338.2546280547838,10.03103628732973,1.2525898002789795,-7.3781158358934995,6.795961720747357,2.3972431651937725,1
2023-05-27,717997,"Yates, Kirby",592206,489446,R,R,1,1,ATL,PHI,1,7,Top,105.3,20.0,-26.99246542428494,0,1,0,0,3.846242,361.98697,-164.29622945799477,322.5543593062274,64.87676,103.62088,16.846207,153.99442,-76.896164,116.285126,-38.075928,147.53577,-139.90384,265.81088,8.199211,338.15524,136.38708,260.8384,32.050573979262445,6.2430420904421835,-33.475570570995366,-14.471088171674772,-27.75911058764725,1.3889719853407054,27.604150445042812,122.25498255724386,154.9131243033438,139.410367500953,152.3698780026882,300.38060585384005,338.2546280547838,294.34351785878755,59.04303940354738,33.235507514727125,-6.483105146710425,12.521377252610169,7,-139.90384,265.81088,-27.75911058764725,300.38060585384005,61.76415714026018,-0.766645163362309,-24.392389457994767,56.743479306227414,1.9767857073819284,1
